Key,en,hi,ar,es
New password & confirm password is not same!,New password & confirm password is not same!,नया पासवर्ड और कन्फर्म पासवर्ड एक ही नहीं है!,كلمة المرور الجديدة وتأكيد كلمة المرور ليسا نفس الشيء!,¡Nueva contraseña y confirmación de contraseña no son lo mismo!
Oops! Failed to upload attachment. Please try again.,Oops! Failed to upload attachment. Please try again.,उफ़! अनुलग्नक अपलोड करने में विफल. कृपया पुन: प्रयास करें।,أُووبس! فشل تحميل المرفق. حاول مرة اخرى.,¡Ups! No se pudo cargar el archivo adjunto. Inténtalo de nuevo.
Support ticket created successfully!,Support ticket created successfully!,समर्थन टिकट सफलतापूर्वक बनाया गया!,تم إنشاء تذكرة الدعم بنجاح!,¡Ticket de soporte creado exitosamente!
This support ticket is closed.,This support ticket is closed.,यह समर्थन टिकट बंद है.,تم إغلاق تذكرة الدعم هذه.,Este ticket de soporte está cerrado.
Your account is not activated check mail inbox/spam.,Your account is not activated check mail inbox/spam.,"आपका खाता सक्रिय नहीं है, मेल इनबॉक्स/स्पैम जांचें।",لم يتم تنشيط حسابك، تحقق من البريد الوارد/البريد العشوائي.,Tu cuenta no está activada revisa tu bandeja de entrada/spam.
Email-Address And Password Are Wrong.,Email-Address And Password Are Wrong.,ईमेल-पता और पासवर्ड ग़लत हैं.,عنوان البريد الإلكتروني وكلمة المرور خاطئان.,La dirección de correo electrónico y la contraseña son incorrectas.
An Admin Has Replied to your message,An Admin Has Replied to your message,एक व्यवस्थापक ने आपके संदेश का उत्तर दिया है,لقد رد أحد المشرفين على رسالتك,Un administrador ha respondido a su mensaje
Message deleted successfully!,Message deleted successfully!,संदेश सफलतापूर्वक हटा दिया गया!,تم حذف الرسالة بنجاح!,¡Mensaje eliminado exitosamente!
Something went wrong! File is not detected.,Something went wrong! File is not detected.,कुछ गलत हो गया! फ़ाइल का पता नहीं चला.,هناك خطأ ما! لم يتم الكشف عن الملف.,¡Algo salió mal! El archivo no se detecta.
File Deleted Successfully!,File Deleted Successfully!,फ़ाइल सफलतापूर्वक हटा दी गई!,تم حذف الملف بنجاح!,¡Archivo eliminado exitosamente!
Announcement Edit,Announcement Edit,घोषणा संपादित करें,تحرير الإعلان,Anuncio Editar
Deactive,Deactive,अक्रिय,غير نشط,Desactivado
appLAppName,App Name,एप्लिकेशन का नाम,اسم التطبيق,Nombre de la aplicación
appLAppVersion,1,1,1,1
appLPleaseFillOutTheField,Please Fill Out The Field,कृपया फ़ील्ड भरें,يرجى ملء الحقل,Por favor complete el campo
appLSignIn,Sign In,दाखिल करना,تسجيل الدخول,Iniciar sesión
appLSignUp,Sign Up,साइन अप करें,اشتراك,Inscribirse
appLSignOutMsg,Do you want to Sign Out from Rentify?,क्या आप रेंटिफ़ाई से साइन आउट करना चाहते हैं?,هل تريد تسجيل الخروج من Rentify؟,¿Quieres cerrar sesión en Rentify?
appLAccepted,Accepted,स्वीकृत,قبلت,Aceptado
appLNoNotificationFound,No Notification Found!,कोई सूचना नहीं मिली!,لم يتم العثور على أي إشعار!,¡No se encontró ninguna notificación!
appLNoDataFound,No Data Found!,डाटा प्राप्त नहीं हुआ!,لاتوجد بيانات!,¡Datos no encontrados!
appLSelectArea,Select Area,क्षेत्र का चयन करें,حدد المنطقة,Seleccionar área
appLYearsExperience,Years Experience,सालों का अनुभव,سنوات خبرة,Años de experiencia
appLSelectType,Select Type,प्रकार चुनें,اختر صنف,Seleccione tipo
appLClearAll,Clear all,सभी साफ करें,امسح الكل,Limpiar todo
appLGuestUser,Guest User,अतिथि उपयेागकर्ता,حساب زائر,Usuario invitado
appLCancel,Cancel,रद्द करना,يلغي,Cancelar
appLTotalSeat,Total Seat,कुल सीट,إجمالي المقعد,Asiento total
appLPerKm,Per/KM,प्रति/किमी,لكل/كم,Por/KM
appLEnterPassword,Enter Password,पास वर्ड दर्ज करें,أدخل كلمة المرور,Introducir la contraseña
appLAlreadyHaveAnAccount,Already Have An Account,क्या आपके पास पहले से एक खाता मौजूद है,هل لديك حساب,Ya tienes una cuenta
appLOtpVerification,OTP Verification,ओटीपी सत्यापन,التحقق من OTP,Verificación OTP
appLPleaseAgree,Please agree with the Terms & Condition,कृपया नियम एवं शर्तों से सहमत हों,يرجى الموافقة على الشروط والأحكام,Por favor acepta los Términos y condiciones
appLArea,Area,क्षेत्र,منطقة,Área
appLBookingVerification,Booking Verification,बुकिंग सत्यापन,التحقق من الحجز,Verificación de reserva
appLUpdateProfile,Update Profile,प्रोफ़ाइल अपडेट करें,تحديث الملف,Actualización del perfil
appLType,Type,प्रकार,يكتب,Tipo
appLRegisterNow,Register Now,अभी पंजीकरण करें,سجل الان,Regístrate ahora
appLUserNameOrEmailAddress,Username Or Email Address,उपयोगकर्ता का नाम या ईमेल पता,اسم المستخدم أو البريد الالكتروني,Nombre de usuario o dirección de correo electrónico
appLPassword,Password,पासवर्ड,كلمة المرور,Contraseña
appLRememberMe,Remember Me,मुझे याद करो,تذكرنى,Acuérdate de mí
appLOkay,Okay,ठीक है,تمام,Bueno
appLEnterPhoneNumber,Enter Phone Number,फोन नंबर दर्ज,أدخل رقم الهاتف,Ingresa número telefónico
appLContact,Contact,संपर्क,اتصال,Contacto
appLLanguage,Language,भाषा,لغة,Idioma
appLLogOut,Log Out,लॉग आउट,تسجيل خروج,Cerrar sesión
appLBlog,Blog,ब्लॉग,مدونة,Blog
appLClose,Close,बंद करना,يغلق,Cerca
appLFilter,Filter,फ़िल्टर,منقي,Filtrar
appLEnterOldPassword,Enter Old Password,पुराना पासवर्ड डालें,أدخل كلمة المرور القديمة,Ingrese la contraseña anterior
appLOldPassword,Old Password,पुराना पासवर्ड,كلمة المرور القديمة,Contraseña anterior
appLFromGallery,From Gallery,गैलरी से,من المعرض,De la galería
appLFromCamera,From Camera,कैमरे से,من الكاميرا,Desde la cámara
appLYourBookingHas,Your booking has been confirm successfully. Thanks to using Rentify.,आपकी बुकिंग की सफलतापूर्वक पुष्टि हो गई है. रेंटिफ़ाइ का उपयोग करने के लिए धन्यवाद.,لقد تم تأكيد حجزك بنجاح. بفضل استخدام Rentify.,Su reserva ha sido confirmada exitosamente. Gracias por usar Rentify.
appLContinueBooking,Continue Booking,बुकिंग जारी रखें,مواصلة الحجز,Continuar reservando
appLRate,Rate,दर,معدل,Tasa
appLCarNumber,Car Number,कार का नबंर,رقم السياره,Número de coche
appLCarModel,Car Model,कार के मॉडल,طراز السيارة,Modelo de auto
appLPickUpDateTime,Pick-up Date & Time,पिक-अप दिनांक और समय,تاريخ ووقت الاستلام,Fecha y hora de recogida
appLBookingPreview,Booking Preview,बुकिंग पूर्वावलोकन,معاينة الحجز,Vista previa de la reserva
appLWriteHere,Write Here,यहाँ लिखें,اكتب هنا,Escribe aquí
appLNote,Note,टिप्पणी,ملحوظة,Nota
appLSendBookingRequest,Send Booking Request,बुकिंग अनुरोध भेजें,إرسال طلب الحجز,Enviar solicitud de reserva
appLRoundTrip,Round Trip?,राउंड ट्रिप?,جولة؟,¿Ida y vuelta?
appLPickUpDate,Pick-up Date,पिक करने की तिथि,اختر تاريخا,Fecha de recogida
appLPickUpTime,Pick-up Time,समय लेने,اختار المعاد,Hora de recogida
appLDateHint,mm/dd/yyyy,मिमी/दिन/वर्ष,مم/ي ي/س س س س,dd/mm/aaaa
appLDestination,Destination,गंतव्य,وجهة,Destino
appLEnterDestination,Enter Destination,गंतव्य दर्ज करें,أدخل الوجهة,Ingrese el destino
appLBookingACar,Booking a Car,कार बुक करना,حجز سيارة,Reservar un coche
appLRentVehicle,Rent A Vehicle,एक वाहन किराए पर लें,استئجار سيارة,Alquilar un vehículo
appLServices,Services,सेवाएं,خدمات,Servicios
appLEnterPickUpLocation,Enter Pick Up Location,पिक अप स्थान दर्ज करें,أدخل موقع الالتقاط,Ingrese el lugar de recogida
appLBookNow,Book Now,अभी बुक करें,احجز الآن,Reservar ahora
appLPickUpLocation,Pick Up Location,लेने की जगह,اختر موقعا,Lugar de recogida
appLViewMore,View More,और देखें,عرض المزيد,Ver más
appLHistoryList,History List,इतिहास सूची,قائمة التاريخ,Lista de Historia
appLAnd,&,&,&,&
appLSearchHere,Search here,यहां तलाश करो,ابحث هنا,Busca aquí
appLPending,Pending,लंबित,قيد الانتظار,Pendiente
appLExperienceDemo,2 Year Experience,2 वर्ष का अनुभव,خبرة لمدة عامين,Experiencia de 2 años
appLYourAccountHas,Your account has been create successfully. Welcome to Rentify.,आपका खाता सफलतापूर्वक बन गया है. रेंटिफाई में आपका स्वागत है।,لقد تم إنشاء حسابك بنجاح. مرحبا بكم في Rentify.,Su cuenta se ha creado correctamente. Bienvenido a Rentify.
appLEnterName,Enter Name,नाम दर्ज करें,أدخل الاسم,Ingrese su nombre
appLAlreadyHaveAn,Already Have An Account?,क्या आपके पास पहले से एक खाता मौजूद है?,هل لديك حساب؟,¿Ya tienes una cuenta?
appLPrivacyPolicy,Privacy Policy,गोपनीयता नीति,سياسة الخصوصية,política de privacidad
appLTerms,Terms Of Use,उपयोग की शर्तें,شروط الاستخدام,Condiciones de uso
appLIAgreedWith,I have agreed with,मैं इससे सहमत हूं,لقد اتفقت مع,he estado de acuerdo con
appLWelcomeSignUp,Register for an Account Today,एक खाता के लिए आज ही पंजीकरण करें,سجل للحصول على حساب اليوم,Regístrese para obtener una cuenta hoy
appLWelcomeSignUpMsg,"Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs. Our registration page makes it easy to create your account, providing a seamless and user-friendly experience.","आज ही एक खाते के लिए पंजीकरण करके हमारे समुदाय का हिस्सा बनें। अपनी आवश्यकताओं को पूरा करने के लिए तैयार किए गए अनेक लाभों और सुविधाओं का आनंद लें। हमारा पंजीकरण पृष्ठ एक सहज और उपयोगकर्ता-अनुकूल अनुभव प्रदान करते हुए, आपका खाता बनाना आसान बनाता है।",كن جزءًا من مجتمعنا من خلال التسجيل للحصول على حساب اليوم. استمتع بمجموعة من المزايا والميزات المصممة خصيصًا لتلبية احتياجاتك. تسهل صفحة التسجيل الخاصة بنا إنشاء حسابك، مما يوفر تجربة سلسة وسهلة الاستخدام.,"Conviértase en parte de nuestra comunidad registrándose para obtener una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades. Nuestra página de registro facilita la creación de su cuenta, brindando una experiencia fluida y fácil de usar."
appLYourPasswordHas,"Your password has been reset successfully, Login now again. Thanks to use Rentify.","आपका पासवर्ड सफलतापूर्वक रीसेट हो गया है, अब दोबारा लॉगिन करें। रेंटिफ़ाई का उपयोग करने के लिए धन्यवाद।",تم إعادة تعيين كلمة المرور الخاصة بك بنجاح، قم بتسجيل الدخول الآن مرة أخرى. شكرا لاستخدام Rentify.,Su contraseña se ha restablecido correctamente. Inicie sesión ahora nuevamente. Gracias por usar Rentify.
appLCongratulations,Congratulations,बधाई हो,تهانينا,Felicidades
appLForgotPassword,Forgot Password,पासवर्ड भूल गए,هل نسيت كلمة السر,Has olvidado tu contraseña
appLResetYourForgetPassword,Reset Your Forgotten Password,अपना भूला हुआ पासवर्ड रीसेट करें,إعادة تعيين كلمة المرور المنسية,Restablecer su contraseña olvidada
appLSignInMsg,Log in and Stay Connected,लॉग इन करें और जुड़े रहें,تسجيل الدخول والبقاء على اتصال,Inicie sesión y manténgase conectado
appLSignUpMsg,Register for an Account Today,एक खाता के लिए आज ही पंजीकरण करें,سجل للحصول على حساب اليوم,Regístrese para obtener una cuenta hoy
appLForgetPassword,Forget Password,पासवर्ड भूल गए,نسيت كلمة المرور,Contraseña olvidada
appLGetStarted,Get Started,शुरू हो जाओ,البدء,Empezar
appLEnterConfirmPassword,Enter Confirm Password,पासवर्ड की पुष्टि करें दर्ज करें,أدخل تأكيد كلمة المرور,Ingrese Confirmar Contraseña
appLEnterNewPassword,Enter New Password,नया पासवर्ड दर्ज करें,أدخل كلمة المرور الجديدة,Ingrese nueva clave
appLEnterTheOtpVerification,We sent a 6-digit code to your email,हमने आपके ईमेल पर 6 अंकों का कोड भेजा है,لقد أرسلنا رمزًا مكونًا من 6 أرقام إلى بريدك الإلكتروني,Le enviamos un código de 6 dígitos a su correo electrónico
appLPleaseEnterTheCode,Please enter the code,कृपया कोड दर्ज करें,الرجاء إدخال الرمز,Por favor ingresa el código
appLForgetPasswordMsg,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,अपना पासवर्ड रीसेट करके अपने खाते पर नियंत्रण रखें। हमारा पासवर्ड पुनर्प्राप्ति पृष्ठ आपका पासवर्ड सुरक्षित रूप से रीसेट करने के लिए आवश्यक चरणों में आपका मार्गदर्शन करता है।,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.
appLEnterEmailAddress,Enter Email Address,ईमेल पता दर्ज करें,أدخل عنوان البريد الالكتروني,Introducir la dirección de correo electrónico
appLWelcomeToChange,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.",हमारी सुरक्षित लॉगिन प्रक्रिया आपकी जानकारी की गोपनीयता सुनिश्चित करती है। आज ही लॉग इन करें और किसी भी समय और कहीं भी अपने वित्त से जुड़े रहें।,تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم وابق على اتصال بأموالك في أي وقت وفي أي مكان.,"Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar."
appLEmailAddress,Email Address,मेल पता,عنوان البريد الإلكتروني,Dirección de correo electrónico
appLDoNotHaveAnAccount,Don’t Have An Account?,क्या आपके पास खाता नहीं है?,ليس لديك حساب؟,¿No tienes una cuenta?
appLEnterTheOTPCodeSendTo,Enter The OTP Code Sent to,भेजे गए ओटीपी कोड को दर्ज करें,أدخل رمز OTP المرسل إليه,Ingrese el código OTP enviado a
appLVerifiedCode,Verified Code,सत्यापित कोड,رمز التحقق,Código verificado
appLSubmit,Submit,जमा करना,يُقدِّم,Entregar
appLResendCode,Resend Code,पुन: कोड भेजे,أعد إرسال الرمز,Reenviar codigo
appLEmailVerification,Email Verification,ईमेल सत्यापन,تأكيد بواسطة البريد الالكتروني,verificacion de email
appLResend,Resend,पुन: भेजें,إعادة إرسال,Reenviar
appLEnterYourPassword,Enter Password,पास वर्ड दर्ज करें,أدخل كلمة المرور,Introducir la contraseña
appLNewPassword,New Password,नया पासवर्ड,كلمة المرور الجديدة,Nueva contraseña
appLConfirmPassword,Confirm Password,पासवर्ड की पुष्टि कीजिये,تأكيد كلمة المرور,confirmar Contraseña
appLEnter,Enter,प्रवेश करना,يدخل,Ingresar
appLResetPassword,Reset Password,पासवर्ड रीसेट,إعادة تعيين كلمة المرور,Restablecer la contraseña
appLCongratulation,Congratulations,बधाई हो,تهانينا,Felicidades
appLCreateAccount,Create Account,खाता बनाएं,إنشاء حساب,Crear una cuenta
appLFirstName,First Name,पहला नाम,الاسم الأول,Nombre de pila
appLLastName,Last Name,उपनाम,اسم العائلة,Apellido
appLOkey,Okay,ठीक है,تمام,Bueno
appLTransfer,TRANSFER,स्थानांतरण,تحويل,TRANSFERIR
appLHome,HOME,घर,بيت,HOGAR
appLProfile,Profile,प्रोफ़ाइल,حساب تعريفي,Perfil
appLAddMoney,Add Money,पैसे जोड़ें,إضافة المال,Agregar dinero
appLMoneyOut,Money Out,धन ले जाना,لم يبقى اي من المال,Salida de dinero
appLExchange,Exchange,अदला-बदली,تبادل,Intercambio
appLRequest,Request,अनुरोध,طلب,Pedido
appLRecentTransaction,Recent Transaction,हालिया लेनदेन,المعاملة الأخيرة,Transacción reciente
appLNotification,Notification,अधिसूचना,إشعار,Notificación
appLMyInvoice,My Invoice,मेरा चालान,فاتورتي,mi factura
appLMyVoucher,My Voucher,मेरा वाउचर,قسيمتي,Mi vale
appLTransactionLog,Transaction Log,हस्तांतरण लॉग,سجل المعاملات,Registro de transacciones
appLTwoFASecurity,2FA Security,2एफए सुरक्षा,2FA الأمن,Seguridad 2FA
appLChangePassword,Change Password,पासवर्ड बदलें,تغيير كلمة المرور,Cambiar la contraseña
appLHelpCenter,Help Center,सहायता केंद्र,مركز المساعدة,Centro de ayuda
appLPrivacyAndPolicy,Privacy & Policy,गोपनीयता नीति,سياسة الخصوصية,Política de privacidad
appLAboutUs,About Us,हमारे बारे में,معلومات عنا,Sobre nosotros
appLSignOut,Sign Out,साइन आउट,خروج,Desconectar
appLAmount,Amount,मात्रा,كمية,Cantidad
appLPreviewScreen,Preview Screen,पूर्वावलोकन स्क्रीन,شاشة المعاينة,Pantalla de vista previa
appLExchangeRate,Exchange Rate,विनिमय दर,سعر الصرف,Tipo de cambio
appLTotalFeesAndCharges,Total Fees & Charges,कुल शुल्क एवं शुल्क,إجمالي الرسوم والمصاريف,Tarifas y cargos totales
appLWillGet,Will Get,लाऊंगा,سوف تحصل,Obtendrá
appLTotalPayableAmount,Total Payable Amount,कुल देय राशि,إجمالي المبلغ المستحق,Monto total a pagar
appLConfirm,Confirm,पुष्टि करना,يتأكد,Confirmar
appLMoneyExchange,Money Exchange,पैसे का आदान - प्रदान,حوالة نقدية,Cambio de dinero
appLFrom,From,से,من,De
appLTo,To,को,ل,A
appLRequestMoney,Request Money,पैसे का अनुरोध,طلب المال,Pedir dinero
appLRemarks,Remarks,टिप्पणी,ملاحظات,Observaciones
appLOptional,Optional,वैकल्पिक,خياري,Opcional
appLShareRequestMoney,Share Request Money,शेयर अनुरोध धन,مشاركة طلب المال,Compartir Solicitar Dinero
appLShare,Share,शेयर करना,يشارك,Compartir
appLMoneyTransfer,Money Transfer,मनी ट्रांसफर,تحويل المال,Transferencia de dinero
appLAvailableBalance,Available Balance,उपलब्ध शेष राशि,الرصيد المتوفر,Saldo disponible
appLReceiver,Receiver,रिसीवर,المتلقي,Receptor
appLProfileLabel,Profile,प्रोफ़ाइल,حساب تعريفي,Perfil
appLFullName,Full Name,पूरा नाम,الاسم الكامل,Nombre completo
appLCountry,Country,देश,دولة,País
appLMobileNumber,Mobile Number,मोबाइल नंबर,رقم الهاتف المحمول,Número de teléfono móvil
appLState,State,राज्य,ولاية,Estado
appLCity,City,शहर,مدينة,Ciudad
appLZipCode,Zip Code,ज़िप कोड,الرمز البريدي,Código postal
appLAddress,Address,पता,عنوان,DIRECCIÓN
appLUpdate,Update,अद्यतन,تحديث,Actualizar
appLPaid,Paid,चुकाया गया,مدفوع,Pagado
appLSent,Sent,भेजा,مرسل,Enviado
appLUnPaid,UnPaid,अवैतनिक,غير مدفوعة الأجر,No pagado
appLInvoiceNumber,Invoice Number,बीजक संख्या,رقم الفاتورة,Número de factura
appLInvoiceDate,Invoice Date,चालान की तारीख,تاريخ الفاتورة,Fecha de la factura
appLCurrency,Currency,मुद्रा,عملة,Divisa
appLPickGoods,Pick Goods,सामान उठाओ,اختر البضائع,Escoger productos
appLTrickGoods,Trick Goods,चाल माल,السلع خدعة,Productos de truco
appLTotalBill,Total Bill,कुल बिल,إجمالي الفاتورة,Cuenta total
appLCreateInvoice,Create Invoice,इनवॉयस बनाएँ,إنشاء فاتورة,Crear factura
appLInvoiceTo,Invoice To,बीजक बनाना,فاتورة إلى,facturar a
appLBillingAddress,Billing Address,बिल भेजने का पता,عنوان وصول الفواتير,Dirección de Envio
appLNotes,Notes,टिप्पणियाँ,ملحوظات,Notas
appLItemDetails,Item Details,आइटम विवरण,تفاصيل العنصر,detalles del artículo
appLClientName,Client Name,ग्राहक नाम,اسم العميل,nombre del cliente
appLAddNew,Add New,नया जोड़ो,اضف جديد,Agregar nuevo
appLItemName,Item Name,आइटम नाम,اسم العنصر,Nombre del árticulo
appLVoucher,Voucher,वाउचर,فاتورة,Vale
appLRedeem,Redeem,भुनाना,يسترد,Canjear
appLUsed,Used,इस्तेमाल किया गया,مستخدم,Usado
appLNotUsed,Not Used,उपयोग नहीं किया,غير مستعمل,No utilizado
appLName,Name,नाम,اسم,Nombre
appLEmail,Email,ईमेल,بريد إلكتروني,Correo electrónico
appLPhone,Phone,फ़ोन,هاتف,Teléfono
appLFeesAndCharge,Fees & Charge,फीस एवं शुल्क,الرسوم والتكاليف,Tarifas y cargos
appLStatus,Status,स्थिति,حالة,Estado
appLCode,Code,कोड,شفرة,Código
appLCreateVoucher,Create Voucher,वाउचर बनाएं,إنشاء قسيمة,Crear cupón
appLConfirmRedeem,Confirm Redeem,रिडीम की पुष्टि करें,تأكيد الاسترداد,Confirmar canjear
appLRedeemCode,Redeem Code,रीडीम कोड,استرداد الرمز,Canjear código
appLAddMoneyLog,Add Money Log,मनी लॉग जोड़ें,إضافة سجل الأموال,Agregar registro de dinero
appLMoneyOutLog,Money Out Log,मनी आउट लॉग,سجل خروج الأموال,Registro de salida de dinero
appLExchangeLog,Exchange Log,एक्सचेंज लॉग,سجل التبادل,Registro de intercambio
appLRequestLog,Request Log,लॉग का अनुरोध करें,سجل الطلب,Registro de solicitudes
appLBackToHome,Back To Home,घर वापिस जा रहा हूँ,العودة إلى المنزل,De vuelta a casa
appLEnable2faSecurity,Enable 2FA Security,2एफए सुरक्षा सक्षम करें,تمكين أمان 2FA,Habilitar la seguridad 2FA
appLSendVerificationCode,Send Verification Code,सत्यापन कोड भेजें,إرسال رمز التحقق,Envíe el código de verificación
appLIndividual,Individual,व्यक्ति,فردي,Individual
appLBusiness,Business,व्यापार,عمل,Negocio
appLMiddleName,Middle Name,मध्य नाम,الاسم الأوسط,Segundo nombre
appLUserName,Username,उपयोगकर्ता नाम,اسم المستخدم,Nombre de usuario
appLPostalCode,Postal Code,डाक कोड,رمز بريدي,Código Postal
appLCompanyName,Company Name,कंपनी का नाम,اسم الشركة,nombre de empresa
appLGender,Gender,लिंग,جنس,Género
appLDateOfBirth,Date of Birth,जन्म की तारीख,تاريخ الميلاد,Fecha de nacimiento
appLNationality,Nationality,राष्ट्रीयता,جنسية,Nacionalidad
appLMyReceipt,My Receipt,मेरी रसीद,إيصالي,mi recibo
appLTotalExchangedAmount,Total Exchanged Amount,कुल विनिमय राशि,إجمالي المبلغ المتبادل,Monto total intercambiado
appLConvertedAmount,Converted Amount,परिवर्तित राशि,المبلغ المحول,Monto convertido
appLRequestedAmount,Requested Amount,अनुरोध राशि,الكمية المطلوبة,Monto requerido
Types fetch successfully,Types fetch successfully,प्रकार सफलतापूर्वक प्राप्त हुए,تم جلب الأنواع بنجاح,Los tipos se recuperan correctamente
This car is already booked at the selected date.,This car is already booked at the selected date.,यह कार पहले से ही चयनित तिथि पर बुक हो चुकी है।,تم حجز هذه السيارة بالفعل في التاريخ المحدد.,Este coche ya está reservado en la fecha seleccionada.
Booking data stored in the temporary table,Booking data stored in the temporary table,बुकिंग डेटा अस्थायी तालिका में संग्रहीत है,بيانات الحجز المخزنة في الجدول المؤقت,Datos de reserva almacenados en la tabla temporal
Booking data not found!,Booking data not found!,बुकिंग डेटा नहीं मिला!,لم يتم العثور على بيانات الحجز!,¡No se encontraron datos de reserva!
Booking list not found!,Booking list not found!,बुकिंग सूची नहीं मिली!,لم يتم العثور على قائمة الحجز!,¡Lista de reservas no encontrada!
User doesn't exists!,User doesn't exists!,उपयोगकर्ता मौजूद नहीं है!,المستخدم غير موجود!,¡El usuario no existe!
Credentials didn't match,Credentials didn't match,क्रेडेंशियल मेल नहीं खाते,بيانات الاعتماد غير متطابقة,Las credenciales no coincidieron
Language Switch to,Language Switch to,भाषा पर स्विच करें,تبديل اللغة إلى,Idioma Cambiar a
Category Already Exists!,Category Already Exists!,श्रेणी पहले से मौजूद है!,الفئة موجودة بالفعل!,¡La categoría ya existe!
Category deleted successfully!,Category deleted successfully!,श्रेणी सफलतापूर्वक हटा दी गई!,تم حذف الفئة بنجاح!,¡Categoría eliminada exitosamente!
Announcement delete successfully!,Announcement delete successfully!,घोषणा सफलतापूर्वक हटा दी गई!,تم حذف الإعلان بنجاح!,¡Anuncio eliminado exitosamente!
Section item added successfully!,Section item added successfully!,अनुभाग आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر القسم بنجاح!,¡El artículo de la sección se agregó correctamente!
Pick-up Date & Time,Pick-up Date & Time,पिक-अप दिनांक और समय,تاريخ ووقت الاستلام,Fecha y hora de recogida
Mail From Address,Mail From Address,मेल पते से,البريد من العنوان,Correo desde la dirección
Round Trip,Round Trip,राउंड ट्रिप,جولة,Ida y vuelta
Round Trip Date & Time,Round Trip Date & Time,राउंड ट्रिप की तारीख और समय,تاريخ ووقت الرحلة ذهابًا وإيابًا,Fecha y hora del viaje de ida y vuelta
Trip Id,Trip Id,यात्रा आईडी,معرف الرحلة,ID de viaje
Add Fare,Add Fare,किराया जोड़ें,أضف الأجرة,Agregar tarifa
/KM,/KM,/ किमी,/كم,/KM
Payable Amount,Payable Amount,भुगतान योग्य राशि,المبلغ المستحق,Cantidad a pagar
Fare Added Successfully!,Fare Added Successfully!,किराया सफलतापूर्वक जोड़ा गया!,تمت إضافة الأجرة بنجاح!,¡Tarifa agregada exitosamente!
Yes,Yes,हाँ,نعم,Sí
No,No,नहीं,لا,No
About Us,About Us,हमारे बारे में,معلومات عنا,Sobre nosotros
Blog ,Blog,ब्लॉग,مدونة,Blog
Mail Verification,Mail Verification,मेल सत्यापन,التحقق من البريد,Verificación de correo
Booking,Booking,बुकिंग,الحجز,Reserva
OTP Verification,OTP Verification,ओटीपी सत्यापन,التحقق من OTP,Verificación OTP
Verify User,Verify User,उपयोगकर्ता सत्यापित करें,التحقق من المستخدم,Verificar usuario
| User Profile,| User Profile,| उपयोगकर्ता रूपरेखा,| ملف تعريفي للمستخدم,| Perfil del usuario
| User History,| User History,| उपयोगकर्ता इतिहास,| تاريخ المستخدم,| Historial de usuario
Total Distance,Total Distance,कुल दूरी,المسافة الكلية,Distancia total
KM,KM,किमी,كم,km
User Information,User Information,यूजर जानकारी,معلومات المستخدم,informacion del usuario
Footer Text (For getting dynamic date you can use {date} variable.),Footer Text (For getting dynamic date you can use {date} variable.),फ़ूटर टेक्स्ट (डायनामिक दिनांक प्राप्त करने के लिए आप {दिनांक} वेरिएबल का उपयोग कर सकते हैं।),نص التذييل (للحصول على تاريخ ديناميكي، يمكنك استخدام المتغير {date}.),"Texto de pie de página (para obtener una fecha dinámica, puede utilizar la variable {fecha}.)"
"Ex: Copyright © {date}, All Right Reserved Rentify","Ex: Copyright © {date}, All Right Reserved Rentify","उदाहरण: कॉपीराइट © {तिथि}, सर्वाधिकार सुरक्षित किराया",على سبيل المثال: حقوق الطبع والنشر © {date}، جميع الحقوق محفوظة لـ Rentify,"Ej: Copyright © {fecha}, Todos los derechos reservados Rentify"
appLDeleteProfile,Delete Profile,प्रोफ़ाइल हटाएं,حذف الملف الشخصي,Borrar perfil
appLDeleteLog,Do you want to delete?,क्या आप हटाना चाहते हैं?,هل تريد أن تحذف؟,¿Quieres borrar?
